clip_id,actual,predicted,confidence,sea_state,n_blades,cavitation_intensity
41,small_craft,fishing_vessel,0.561540961265564,0,4,0.0
44,small_craft,fishing_vessel,0.4194445312023163,0,4,0.0
71,small_craft,fishing_vessel,0.4207627475261688,0,4,0.6667
74,small_craft,fishing_vessel,0.7148900032043457,0,4,0.6667
80,small_craft,fishing_vessel,0.8412750363349915,0,5,0.0
81,small_craft,fishing_vessel,0.5804219841957092,0,5,0.0
82,small_craft,fishing_vessel,0.42680099606513977,0,5,0.0
83,small_craft,fishing_vessel,0.47433173656463623,0,5,0.0
84,small_craft,fishing_vessel,0.554684042930603,0,5,0.0
86,small_craft,fishing_vessel,0.47630420327186584,0,5,0.3333
88,small_craft,fishing_vessel,0.567832887172699,0,5,0.3333
89,small_craft,fishing_vessel,0.6710804104804993,0,5,0.3333
91,small_craft,fishing_vessel,0.49928775429725647,0,5,0.6667
92,small_craft,fishing_vessel,0.4311508238315582,0,5,0.6667
93,small_craft,fishing_vessel,0.6960362792015076,0,5,0.6667
94,small_craft,fishing_vessel,0.4674732983112335,0,5,0.6667
102,small_craft,fishing_vessel,0.7068321704864502,0,5,0.0
106,small_craft,fishing_vessel,0.48978981375694275,0,5,0.3333
108,small_craft,fishing_vessel,0.6550925374031067,0,5,0.3333
113,small_craft,fishing_vessel,0.43564075231552124,0,5,0.6667
158,fishing_vessel,small_craft,0.5366737246513367,0,3,1.0
178,fishing_vessel,small_craft,0.8037108778953552,0,4,1.0
208,fishing_vessel,cargo_ship,0.43610936403274536,0,5,0.3333
211,fishing_vessel,cargo_ship,0.4078223705291748,0,5,0.6667
213,fishing_vessel,cargo_ship,0.45650896430015564,0,5,0.6667
217,fishing_vessel,small_craft,0.8217087388038635,0,5,1.0
239,fishing_vessel,small_craft,0.5719662308692932,0,5,1.0
240,cargo_ship,tanker,0.5290724635124207,0,3,0.0
241,cargo_ship,tanker,0.49224406480789185,0,3,0.0
242,cargo_ship,tanker,0.4613097012042999,0,3,0.0
244,cargo_ship,tanker,0.7803316712379456,0,3,0.0
245,cargo_ship,tanker,0.6363204717636108,0,3,0.3333
246,cargo_ship,tanker,0.7098761200904846,0,3,0.3333
247,cargo_ship,tanker,0.5522641539573669,0,3,0.3333
248,cargo_ship,tanker,0.675994873046875,0,3,0.3333
249,cargo_ship,tanker,0.648886501789093,0,3,0.3333
250,cargo_ship,tanker,0.5669808387756348,0,3,0.6667
251,cargo_ship,tanker,0.5776801109313965,0,3,0.6667
252,cargo_ship,tanker,0.7994468212127686,0,3,0.6667
254,cargo_ship,tanker,0.6220735907554626,0,3,0.6667
255,cargo_ship,tanker,0.7233129143714905,0,3,1.0
261,cargo_ship,tanker,0.4489259421825409,0,3,0.0
267,cargo_ship,tanker,0.7394111156463623,0,3,0.3333
268,cargo_ship,tanker,0.44052407145500183,0,3,0.3333
274,cargo_ship,tanker,0.4788103699684143,0,3,0.6667
280,cargo_ship,tanker,0.77605801820755,0,4,0.0
281,cargo_ship,tanker,0.7751324772834778,0,4,0.0
282,cargo_ship,tanker,0.6404186487197876,0,4,0.0
283,cargo_ship,tanker,0.784625232219696,0,4,0.0
284,cargo_ship,tanker,0.5817791223526001,0,4,0.0
285,cargo_ship,tanker,0.5360168218612671,0,4,0.3333
286,cargo_ship,tanker,0.7279193997383118,0,4,0.3333
287,cargo_ship,tanker,0.7352151870727539,0,4,0.3333
288,cargo_ship,tanker,0.7087300419807434,0,4,0.3333
289,cargo_ship,tanker,0.7262294888496399,0,4,0.3333
290,cargo_ship,tanker,0.6575021743774414,0,4,0.6667
291,cargo_ship,tanker,0.5565093159675598,0,4,0.6667
292,cargo_ship,tanker,0.7530907988548279,0,4,0.6667
293,cargo_ship,tanker,0.531203031539917,0,4,0.6667
300,cargo_ship,tanker,0.4435097277164459,0,4,0.0
303,cargo_ship,tanker,0.5862724184989929,0,4,0.0
307,cargo_ship,tanker,0.6877425909042358,0,4,0.3333
309,cargo_ship,tanker,0.700534999370575,0,4,0.3333
310,cargo_ship,tanker,0.5795423984527588,0,4,0.6667
311,cargo_ship,tanker,0.5687041878700256,0,4,0.6667
313,cargo_ship,tanker,0.5636686682701111,0,4,0.6667
320,cargo_ship,tanker,0.62815922498703,0,5,0.0
323,cargo_ship,tanker,0.671414315700531,0,5,0.0
325,cargo_ship,tanker,0.7970152497291565,0,5,0.3333
327,cargo_ship,tanker,0.6266178488731384,0,5,0.3333
328,cargo_ship,tanker,0.6785277724266052,0,5,0.3333
329,cargo_ship,tanker,0.6943131685256958,0,5,0.3333
330,cargo_ship,tanker,0.6726752519607544,0,5,0.6667
332,cargo_ship,tanker,0.7497032880783081,0,5,0.6667
333,cargo_ship,tanker,0.7111379504203796,0,5,0.6667
335,cargo_ship,fishing_vessel,0.46721795201301575,0,5,1.0
337,cargo_ship,tanker,0.6509318351745605,0,5,1.0
339,cargo_ship,tanker,0.53874671459198,0,5,1.0
341,cargo_ship,tanker,0.45259881019592285,0,5,0.0
342,cargo_ship,tanker,0.43933722376823425,0,5,0.0
344,cargo_ship,fishing_vessel,0.4477294385433197,0,5,0.0
349,cargo_ship,tanker,0.7213413715362549,0,5,0.3333
