clip_id,actual,predicted,pred_confidence,p_cargo_ship,p_fishing_vessel,p_small_craft,p_tanker
0,small_craft,small_craft,0.41327229142189026,0.10179135203361511,0.4028887152671814,0.41327229142189026,0.08204765617847443
1,small_craft,small_craft,0.6693764328956604,0.08113834261894226,0.18057337403297424,0.6693764328956604,0.06891177594661713
2,small_craft,small_craft,0.6371143460273743,0.09031679481267929,0.19560085237026215,0.6371143460273743,0.07696810364723206
3,small_craft,small_craft,0.6445629596710205,0.08821750432252884,0.19209016859531403,0.6445629596710205,0.07512935250997543
4,small_craft,small_craft,0.41842368245124817,0.10188262164592743,0.397508829832077,0.41842368245124817,0.08218483626842499
5,small_craft,small_craft,0.6202734708786011,0.07763363420963287,0.2383124828338623,0.6202734708786011,0.06378035992383957
6,small_craft,small_craft,0.751233696937561,0.05909720063209534,0.1398385912179947,0.751233696937561,0.04983052238821983
7,small_craft,small_craft,0.4974137246608734,0.0946553573012352,0.3309711217880249,0.4974137246608734,0.07695981115102768
8,small_craft,small_craft,0.6275618672370911,0.07638559490442276,0.23327310383319855,0.6275618672370911,0.06277941912412643
9,small_craft,small_craft,0.6657947897911072,0.08209607750177383,0.18236692249774933,0.6657947897911072,0.06974220275878906
10,small_craft,small_craft,0.7454890012741089,0.05496403947472572,0.1540210247039795,0.7454890012741089,0.045525964349508286
11,small_craft,small_craft,0.8756077885627747,0.028244081884622574,0.07255144417285919,0.8756077885627747,0.023596733808517456
12,small_craft,small_craft,0.744838535785675,0.05513361468911171,0.1543586105108261,0.744838535785675,0.04566917195916176
13,small_craft,small_craft,0.8185027241706848,0.04173627123236656,0.10480950772762299,0.8185027241706848,0.03495151549577713
14,small_craft,small_craft,0.6570237278938293,0.07136436551809311,0.2128441035747528,0.6570237278938293,0.05876782909035683
15,small_craft,small_craft,0.7029681205749512,0.07174141705036163,0.16459082067012787,0.7029681205749512,0.06069956347346306
16,small_craft,small_craft,0.5242902636528015,0.12598805129528046,0.2404969483613968,0.5242902636528015,0.10922468453645706
17,small_craft,small_craft,0.8058560490608215,0.045051783323287964,0.1112959086894989,0.8058560490608215,0.037796229124069214
18,small_craft,small_craft,0.5887676477432251,0.104859858751297,0.21645650267601013,0.5887676477432251,0.08991597592830658
19,small_craft,small_craft,0.5428502559661865,0.11965843290090561,0.2341274470090866,0.5428502559661865,0.10336381196975708
20,small_craft,small_craft,0.5354653596878052,0.12223194539546967,0.23652832210063934,0.5354653596878052,0.10577438771724701
21,small_craft,small_craft,0.715878963470459,0.06839744001626968,0.15788283944129944,0.715878963470459,0.05784071981906891
22,small_craft,small_craft,0.8544731140136719,0.0327327735722065,0.08548688143491745,0.8544731140136719,0.02730729803442955
23,small_craft,small_craft,0.7062463164329529,0.06319743394851685,0.17824506759643555,0.7062463164329529,0.05231117457151413
24,small_craft,small_craft,0.5504286885261536,0.08823147416114807,0.2892521023750305,0.5504286885261536,0.07208771258592606
25,small_craft,small_craft,0.8724023103713989,0.02863612025976181,0.07508385181427002,0.8724023103713989,0.0238777045160532
26,small_craft,small_craft,0.7940772771835327,0.04521263763308525,0.1231534332036972,0.7940772771835327,0.0375567302107811
