clip_id,repeat_index,sea_state,vessel_class,n_blades,generator_freq,cavitation_intensity,shaft_rate,blade_pass_freq,has_cavitation,cavitation_peak_freq,n_cavitation_bursts,equipment_base_freq,resonance_freq_1,resonance_freq_2,resonance_freq_3,sea_rms_pa,ship_rms_pa,combined_rms_pa,scale_factor,sea_spl_db,ship_spl_db,combined_spl_db,snr_db
0,0,0,small_craft,3,0.0,0.0,22.7504,68.2511,False,0.0,0,25.0,141.18,292.67,355.81,0.00743374574441087,0.014832272742883288,0.01669383285092134,48.09414271264264,77.42,83.42,84.45,6.0
1,1,0,small_craft,3,0.0,0.0,25.7221,77.1663,False,0.0,0,25.0,182.69,306.42,112.52,0.00743374574441087,0.014832272742883288,0.016643411387191744,48.24453155851064,77.42,83.42,84.42,6.0
2,2,0,small_craft,3,0.0,0.0,24.5278,73.5834,False,0.0,0,25.0,98.0,155.85,400.05,0.00743374574441087,0.014832272742883287,0.016587839895969143,47.09650129120583,77.42,83.42,84.4,6.0
3,3,0,small_craft,3,0.0,0.0,25.3224,75.9673,False,0.0,0,25.0,104.62,179.5,0.0,0.00743374574441087,0.014832272742883288,0.016609671813026205,47.74684529296473,77.42,83.42,84.41,6.0
4,4,0,small_craft,3,0.0,0.0,27.591,82.7731,False,0.0,0,25.0,487.73,169.44,0.0,0.00743374574441087,0.014832272742883287,0.016671392781018604,48.26213388158435,77.42,83.42,84.44,6.0
5,0,0,small_craft,3,0.0,0.3333,18.1692,54.5075,True,6152.03,309,25.0,206.76,144.95,111.63,0.00743374574441087,0.014832272742883288,0.01662806484604305,47.78591374124362,77.42,83.42,84.42,6.0
6,1,0,small_craft,3,0.0,0.3333,17.0937,51.2811,True,6341.87,291,25.0,140.46,206.56,114.5,0.00743374574441087,0.014832272742883288,0.016612489620962245,48.01827233951742,77.42,83.42,84.41,6.0
7,2,0,small_craft,3,0.0,0.3333,27.3495,82.0486,True,5970.51,502,25.0,148.5,58.22,242.13,0.00743374574441087,0.014832272742883288,0.01654409905304282,47.66424393549276,77.42,83.42,84.37,6.0
8,3,0,small_craft,3,0.0,0.3333,23.6459,70.9377,True,5910.59,408,25.0,349.02,98.49,0.0,0.00743374574441087,0.014832272742883287,0.016525490309201675,47.771021862296585,77.42,83.42,84.36,6.0
9,4,0,small_craft,3,0.0,0.3333,22.8351,68.5053,True,6000.7,415,25.0,252.71,116.78,0.0,0.00743374574441087,0.014832272742883288,0.01664820730492623,47.801432435268076,77.42,83.42,84.43,6.0
10,0,0,small_craft,3,0.0,0.6667,16.888,50.6641,True,5871.24,595,25.0,209.0,235.68,0.0,0.00743374574441087,0.014832272742883288,0.016651207486343328,41.18586933869152,77.42,83.42,84.43,6.0
11,1,0,small_craft,3,0.0,0.6667,22.4878,67.4635,True,5914.55,715,25.0,126.99,212.6,0.0,0.00743374574441087,0.014832272742883288,0.016611436025465248,38.4984836175508,77.42,83.42,84.41,6.0
12,2,0,small_craft,3,0.0,0.6667,16.3745,49.1234,True,5804.87,559,25.0,127.07,303.75,0.0,0.00743374574441087,0.014832272742883288,0.01655574154182604,39.3894525408712,77.42,83.42,84.38,6.0
13,3,0,small_craft,3,0.0,0.6667,21.6561,64.9683,True,6000.47,716,25.0,109.74,370.37,0.0,0.00743374574441087,0.014832272742883288,0.01665327301302854,39.98378225407124,77.42,83.42,84.43,6.0
14,4,0,small_craft,3,0.0,0.6667,16.8809,50.6426,True,6316.71,581,25.0,152.45,71.53,0.0,0.00743374574441087,0.01483227274288329,0.01656252216345542,43.09674000977629,77.42,83.42,84.38,6.0
15,0,0,small_craft,3,0.0,1.0,22.2481,66.7444,True,6129.44,972,25.0,181.99,442.64,59.23,0.00743374574441087,0.014832272742883288,0.016585306375939222,27.24784383862084,77.42,83.42,84.39,6.0
16,1,0,small_craft,3,0.0,1.0,16.6759,50.0277,True,5997.1,730,25.0,128.96,120.47,0.0,0.00743374574441087,0.014832272742883288,0.016650268153354724,23.597567150045855,77.42,83.42,84.43,6.0
17,2,0,small_craft,3,0.0,1.0,24.0042,72.0126,True,5890.29,1085,25.0,146.5,472.21,99.17,0.00743374574441087,0.01483227274288329,0.016629174610292483,25.12114832606578,77.42,83.42,84.42,6.0
18,3,0,small_craft,3,0.0,1.0,21.6181,64.8544,True,6053.0,1025,25.0,91.32,159.52,0.0,0.00743374574441087,0.014832272742883285,0.01662775581200408,22.381301748572692,77.42,83.42,84.42,6.0
19,4,0,small_craft,3,0.0,1.0,25.0602,75.1806,True,5943.47,1193,25.0,166.02,216.07,0.0,0.00743374574441087,0.01483227274288329,0.016546888396389733,19.43740424160346,77.42,83.42,84.37,6.0
20,0,0,small_craft,3,50.0,0.0,16.5771,49.7314,False,0.0,0,25.0,387.99,146.7,272.68,0.00743374574441087,0.014832272742883287,0.016448198652813013,45.21078241669793,77.42,83.42,84.32,6.0
21,1,0,small_craft,3,50.0,0.0,17.4705,52.4115,False,0.0,0,25.0,493.05,146.4,116.07,0.00743374574441087,0.014832272742883288,0.0166007909253925,47.31392833531952,77.42,83.42,84.4,6.0
22,2,0,small_craft,3,50.0,0.0,25.7585,77.2756,False,0.0,0,25.0,345.34,66.04,0.0,0.00743374574441087,0.014832272742883288,0.01653811810249687,47.42855240508351,77.42,83.42,84.37,6.0
23,3,0,small_craft,3,50.0,0.0,24.892,74.6759,False,0.0,0,25.0,169.5,68.29,297.47,0.00743374574441087,0.01483227274288329,0.01662494906966944,44.34017535283042,77.42,83.42,84.42,6.0
24,4,0,small_craft,3,50.0,0.0,15.3672,46.1015,False,0.0,0,25.0,143.31,239.66,101.02,0.00743374574441087,0.014832272742883288,0.016545790477865804,47.134577173568964,77.42,83.42,84.37,6.0
25,0,0,small_craft,3,50.0,0.3333,24.3057,72.9172,True,5965.09,451,25.0,251.81,53.93,0.0,0.00743374574441087,0.014832272742883287,0.016522825414587945,47.05525061938427,77.42,83.42,84.36,6.0
26,1,0,small_craft,3,50.0,0.3333,28.8128,86.4384,True,6027.89,532,25.0,59.71,192.84,0.0,0.00743374574441087,0.014832272742883288,0.01653439936130164,46.92457520630891,77.42,83.42,84.37,6.0
27,2,0,small_craft,3,50.0,0.3333,19.049,57.1471,True,6100.65,333,25.0,133.41,239.67,0.0,0.00743374574441087,0.014832272742883288,0.016598529259875587,47.165532206418334,77.42,83.42,84.4,6.0
28,3,0,small_craft,3,50.0,0.3333,18.7367,56.21,True,6202.51,319,25.0,53.37,150.83,0.0,0.00743374574441087,0.014832272742883287,0.01662716601383062,46.8590387150251,77.42,83.42,84.42,6.0
29,4,0,small_craft,3,50.0,0.3333,15.775,47.325,True,6253.29,309,25.0,119.92,265.07,0.0,0.00743374574441087,0.014832272742883287,0.01663519627210029,47.032268301438286,77.42,83.42,84.42,6.0
30,0,0,small_craft,3,50.0,0.6667,18.9646,56.8939,True,6023.99,657,25.0,216.65,174.63,70.07,0.00743374574441087,0.01483227274288329,0.0166088291863741,39.84924379154239,77.42,83.42,84.41,6.0
31,1,0,small_craft,3,50.0,0.6667,15.0918,45.2753,True,6043.73,495,25.0,167.13,427.63,0.0,0.00743374574441087,0.014832272742883288,0.016642799855866402,40.88757209351494,77.42,83.42,84.42,6.0
32,2,0,small_craft,3,50.0,0.6667,29.6257,88.877,True,5905.05,969,25.0,275.0,77.52,246.31,0.00743374574441087,0.014832272742883288,0.016497202566647905,39.16961669642069,77.42,83.42,84.35,6.0
33,3,0,small_craft,3,50.0,0.6667,16.7406,50.2217,True,6038.94,548,25.0,146.45,496.52,0.0,0.00743374574441087,0.01483227274288329,0.01658873194624175,40.08343522513498,77.42,83.42,84.4,6.0
34,4,0,small_craft,3,50.0,0.6667,23.5739,70.7218,True,5917.05,780,25.0,334.63,66.86,0.0,0.00743374574441087,0.01483227274288329,0.01663388419115512,38.99618912407178,77.42,83.42,84.42,6.0
35,0,0,small_craft,3,50.0,1.0,15.4584,46.3752,True,6061.84,692,25.0,95.84,166.3,228.27,0.00743374574441087,0.014832272742883288,0.0166679696885026,25.677681732844874,77.42,83.42,84.44,6.0
36,1,0,small_craft,3,50.0,1.0,16.2448,48.7343,True,5853.62,726,25.0,141.2,55.56,301.38,0.00743374574441087,0.014832272742883287,0.016673098963559684,25.753421527581185,77.42,83.42,84.44,6.0
37,2,0,small_craft,3,50.0,1.0,22.5679,67.7038,True,6160.13,1021,25.0,282.41,121.19,0.0,0.00743374574441087,0.01483227274288329,0.01647664680599863,24.653012883458775,77.42,83.42,84.34,6.0
38,3,0,small_craft,3,50.0,1.0,28.0293,84.0879,True,5905.69,1212,25.0,236.86,179.88,0.0,0.00743374574441087,0.01483227274288329,0.01660857960623043,20.084776323359034,77.42,83.42,84.41,6.0
39,4,0,small_craft,3,50.0,1.0,15.4483,46.3448,True,6118.58,721,25.0,187.19,110.93,244.23,0.00743374574441087,0.01483227274288329,0.0165963983467434,26.706167904765707,77.42,83.42,84.4,6.0
40,0,0,small_craft,4,0.0,0.0,20.3451,81.3803,False,0.0,0,25.0,115.02,264.21,205.4,0.00743374574441087,0.014832272742883288,0.016545020686186997,48.68752282645753,77.42,83.42,84.37,6.0
41,1,0,small_craft,4,0.0,0.0,23.9717,95.8868,False,0.0,0,25.0,281.01,208.57,56.21,0.00743374574441087,0.014832272742883288,0.016529389362785873,48.77331882822592,77.42,83.42,84.37,6.0
42,2,0,small_craft,4,0.0,0.0,24.9665,99.8662,False,0.0,0,25.0,397.94,144.51,82.7,0.00743374574441087,0.014832272742883288,0.016641328026622854,47.12236306794452,77.42,83.42,84.42,6.0
43,3,0,small_craft,4,0.0,0.0,26.6989,106.7955,False,0.0,0,25.0,246.94,57.28,110.91,0.00743374574441087,0.014832272742883287,0.01658713206716434,48.654565014664506,77.42,83.42,84.4,6.0
44,4,0,small_craft,4,0.0,0.0,24.1343,96.5372,False,0.0,0,25.0,158.73,76.5,266.25,0.00743374574441087,0.01483227274288329,0.016540019948771537,48.76607261622296,77.42,83.42,84.37,6.0
45,0,0,small_craft,4,0.0,0.3333,25.3689,101.4755,True,5894.91,570,25.0,355.54,198.95,138.61,0.00743374574441087,0.014832272742883288,0.016655942347762565,47.39855517310307,77.42,83.42,84.43,6.0
46,1,0,small_craft,4,0.0,0.3333,22.5851,90.3406,True,5943.61,528,25.0,359.81,257.36,117.03,0.00743374574441087,0.014832272742883288,0.016674607617912823,48.040375880803,77.42,83.42,84.44,6.0
47,2,0,small_craft,4,0.0,0.3333,24.0075,96.0301,True,5968.56,590,25.0,77.86,334.04,108.65,0.00743374574441087,0.01483227274288329,0.016668248928743898,48.15752055291029,77.42,83.42,84.44,6.0
48,3,0,small_craft,4,0.0,0.3333,23.4899,93.9598,True,5869.55,634,25.0,120.55,113.55,0.0,0.00743374574441087,0.014832272742883287,0.016501716772304137,48.38757328607613,77.42,83.42,84.35,6.0
49,4,0,small_craft,4,0.0,0.3333,23.1021,92.4084,True,5878.2,536,25.0,317.2,83.83,0.0,0.00743374574441087,0.014832272742883287,0.016602473490420152,48.215770917689,77.42,83.42,84.4,6.0
50,0,0,small_craft,4,0.0,0.6667,19.5916,78.3665,True,6063.44,873,25.0,377.28,56.78,194.26,0.00743374574441087,0.014832272742883288,0.016590924367921638,38.79270366919791,77.42,83.42,84.4,6.0
