1,79.1178
2,66.2454
3,57.5015
4,61.0482
5,61.0758
6,63.5381
7,57.0277
8,56.2813
9,72.6763
10,62.6784
11,71.8165
12,62.4112
13,63.1734
14,63.3718
15,62.4160
16,60.9336
17,77.5970
18,104.0843
19,86.6090
20,74.8360
21,95.1255
22,123.1827
23,97.2687
24,97.1248
25,105.4407
26,106.4474
27,90.0398
28,82.5325
29,84.6949
30,77.6990
31,75.9326
32,79.6611
33,68.5490
34,73.2186
35,67.0742
36,64.5567
37,65.9597
38,71.5680
39,65.3606
40,66.9065
41,63.9779
42,65.1986
43,66.2285
44,59.6513
45,62.7668
46,60.3211
47,61.9813
48,57.2292
49,60.5725
50,61.5999
